Rk,School,G,W,L,W.L.,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,X.,MP,FG,FGA,FG.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,TRB,AST,STL,BLK,TOV,PF
200,Nevada,33,29,4,.879,16.61,2.61,15,3,15,0,9,3,2662,2200,,1320,905,1944,.466,292,831,.351,560,791,.708,307,1234,494,204,129,338,563
201,New Hampshire,29,5,24,.172,-18.43,-5.80,3,13,4,10,1,14,1742,1990,,1160,623,1656,.376,261,787,.332,235,385,.610,260,987,325,117,53,356,533
202,New Mexico State,34,30,4,.882,10.15,-2.69,15,1,16,1,10,1,2657,2181,,1365,937,2041,.459,319,952,.335,464,687,.675,435,1304,501,191,89,403,607
203,New Mexico,32,14,18,.438,-0.21,1.95,7,11,9,7,4,9,2443,2454,,1280,814,1927,.422,292,844,.346,523,745,.702,351,1200,446,220,107,455,627
204,New Orleans,32,19,13,.594,-8.46,-6.18,12,6,12,3,5,9,2295,2230,,1300,829,1859,.446,182,533,.341,455,662,.687,378,1122,475,277,129,499,605
205,Niagara,32,13,19,.406,-11.15,-7.59,6,12,8,8,5,10,2318,2432,,1285,795,1887,.421,265,738,.359,463,629,.736,315,1143,343,128,125,390,511
206,Nicholls State,31,14,17,.452,-11.53,-6.65,7,11,9,4,3,13,2260,2302,,1250,807,1914,.422,324,883,.367,322,418,.770,280,1041,428,208,128,386,587
207,NJIT,33,21,12,.636,-3.50,-4.71,8,8,10,4,11,8,2310,2238,,1330,792,1778,.445,229,664,.345,497,692,.718,232,1111,354,211,90,409,551
208,Norfolk State,34,21,13,.618,-8.55,-9.77,14,2,11,2,8,7,2512,2348,,1375,849,1935,.439,263,713,.369,551,771,.715,331,1232,438,200,149,501,724
209,North Alabama,32,10,22,.313,-10.94,-1.63,7,9,8,4,2,18,2145,2358,,1285,744,1914,.389,240,805,.298,417,619,.674,351,1170,334,209,74,435,615
210,North Carolina-Asheville,31,4,27,.129,-19.85,-2.39,2,14,3,10,1,15,1857,2313,,1245,655,1627,.403,223,687,.325,324,437,.741,298,931,331,196,86,456,533
211,North Carolina A&T,32,19,13,.594,-11.11,-9.74,13,3,11,2,7,10,2241,2209,,1290,825,1797,.459,227,649,.350,364,548,.664,291,1059,452,215,108,417,515
212,North Carolina Central,33,18,15,.545,-11.54,-11.37,10,6,10,2,4,12,2355,2188,,1325,850,1866,.456,212,673,.315,443,620,.715,387,1227,509,207,92,506,590
213,North Carolina-Greensboro,34,28,6,.824,4.51,-0.83,15,3,14,1,11,4,2585,2288,,1365,940,2059,.457,263,763,.345,442,632,.699,381,1184,434,301,131,401,599
214,North Carolina State,33,22,11,.667,16.29,6.96,9,9,15,4,4,6,2627,2319,,1330,964,2107,.458,269,761,.353,430,606,.710,437,1267,501,243,124,419,640
215,North Carolina-Wilmington,33,10,23,.303,-7.71,-1.65,5,13,5,9,2,12,2515,2670,,1335,881,1988,.443,260,744,.349,493,673,.733,387,1221,495,150,68,436,585
216,North Carolina,33,27,6,.818,25.35,12.23,16,2,14,2,11,1,2840,2407,,1325,1023,2207,.464,289,792,.365,505,681,.742,433,1449,627,237,117,432,566
217,North Dakota State,33,18,15,.545,-3.94,-2.49,9,7,10,3,4,9,2416,2382,,1330,828,1816,.456,315,861,.366,445,575,.774,218,1042,383,159,82,349,492
218,North Dakota,30,12,18,.400,-8.56,-3.32,6,10,8,6,4,11,2220,2196,,1200,822,1771,.464,241,647,.372,335,482,.695,233,1009,398,171,87,380,485
219,North Florida,33,16,17,.485,-3.45,-0.68,9,7,10,3,5,13,2485,2531,,1325,902,2014,.448,308,897,.343,373,539,.692,363,1252,520,212,165,536,573
220,North Texas,33,21,12,.636,0.03,-3.21,8,10,12,4,6,7,2302,2077,,1325,831,1910,.435,284,838,.339,356,532,.669,368,1244,428,210,88,443,589
221,Northeastern,33,23,10,.697,4.89,-0.93,14,4,11,2,8,6,2511,2319,,1345,864,1791,.482,322,830,.388,461,614,.751,230,1048,473,203,71,371,528
222,Northern Arizona,31,10,21,.323,-10.67,-6.15,8,12,5,7,5,13,2262,2402,,1250,785,1819,.432,259,749,.346,433,614,.705,290,1055,381,196,67,372,537
223,Northern Colorado,32,21,11,.656,-3.92,-6.75,15,5,10,3,11,5,2450,2229,,1295,849,1834,.463,307,847,.362,445,632,.704,309,1126,424,176,100,398,535
224,Northern Illinois,34,17,17,.500,2.91,1.44,8,10,10,6,5,9,2506,2413,,1375,940,1995,.471,229,642,.357,397,543,.731,304,1179,374,188,75,404,653
225,Northern Iowa,34,16,18,.471,-1.29,0.87,9,9,9,5,3,9,2215,2230,,1360,769,1846,.417,276,792,.348,401,537,.747,262,1113,370,165,75,393,554
226,Northern Kentucky,34,26,8,.765,4.51,-3.24,13,5,17,1,7,7,2690,2338,,1370,956,1986,.481,301,823,.366,477,717,.665,358,1259,581,212,136,424,647
227,Northwestern State,31,11,20,.355,-16.83,-5.76,6,12,8,7,3,13,2051,2280,,1250,725,1789,.405,190,646,.294,411,604,.680,352,1103,340,192,138,496,578
228,Northwestern,32,13,19,.406,10.53,9.71,4,16,10,8,1,9,2108,2082,,1290,735,1827,.402,233,745,.313,405,551,.735,278,1086,451,176,134,349,583
229,Notre Dame,33,14,19,.424,8.61,8.91,3,15,11,8,1,9,2266,2276,,1320,776,1973,.393,272,863,.315,442,594,.744,370,1208,423,179,148,306,455
230,Oakland,33,16,17,.485,-2.18,-1.40,11,7,10,6,6,10,2534,2515,,1325,864,1859,.465,314,816,.385,492,663,.742,275,1063,581,191,99,426,534
231,Ohio State,33,19,14,.576,14.45,11.03,8,12,12,6,4,7,2298,2185,,1325,797,1824,.437,249,726,.343,455,620,.734,310,1145,470,195,83,413,592
232,Ohio,31,14,17,.452,-1.58,3.43,6,12,11,5,3,10,2174,2288,,1255,803,1838,.437,187,633,.295,381,602,.633,332,1152,451,200,115,448,504
233,Oklahoma State,32,12,20,.375,8.07,11.51,5,13,8,7,2,10,2178,2288,,1285,760,1796,.423,280,753,.372,378,549,.689,295,1092,422,183,139,386,516
234,Oklahoma,32,19,13,.594,14.75,11.81,7,11,11,4,5,7,2277,2183,,1285,830,1864,.445,212,620,.342,405,586,.691,295,1203,406,190,99,390,504
235,Old Dominion,34,26,8,.765,3.96,-1.48,13,5,14,2,8,4,2252,2067,,1360,806,1960,.411,258,731,.353,382,579,.660,408,1324,435,190,155,399,560
236,Oral Roberts,32,11,21,.344,-9.24,-1.81,7,9,7,6,3,13,2314,2483,,1285,854,1874,.456,266,734,.362,340,492,.691,335,1147,434,152,106,447,575
237,Oregon State,31,18,13,.581,7.91,4.37,10,8,10,5,6,5,2275,2165,,1250,800,1728,.463,203,633,.321,472,636,.742,310,1091,465,185,164,384,536
