Rk,School,G,W,L,W.L.,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,X.,MP,FG,FGA,FG.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,TRB,AST,STL,BLK,TOV,PF
276,Siena,33,17,16,0.515,-7.68,-6.26,11,7,7,7,8,7,2131,2178,,1345,772,1779,0.434,288,850,0.339,299,440,0.68,248,973,413,189,93,321,462
277,South Alabama,31,15,16,0.484,-4.19,-2.36,8,10,12,6,3,10,2266,2250,,1255,800,1734,0.461,254,694,0.366,412,610,0.675,269,1004,430,187,127,410,591
278,South Carolina State,32,7,25,0.219,-16.69,-7.43,5,11,5,6,2,19,2252,2461,,1295,770,1796,0.429,182,550,0.331,530,717,0.739,357,1064,359,163,58,462,636
279,South Carolina Upstate,32,6,26,0.188,-15.06,-4.03,1,16,5,9,1,15,2169,2395,,1290,775,1874,0.414,269,819,0.328,350,491,0.713,305,1050,434,207,94,440,621
280,South Carolina,31,16,15,0.516,8.77,9.8,11,7,11,6,4,8,2263,2243,,1245,785,1860,0.422,232,636,0.365,461,676,0.682,371,1127,401,196,137,415,605
281,South Dakota State,32,24,8,0.75,6.09,-5.11,14,2,14,1,7,5,2716,2346,,1280,957,1901,0.503,318,776,0.41,484,624,0.776,239,1221,476,199,63,378,537
282,South Dakota,30,13,17,0.433,-5.16,-2.69,7,9,8,6,4,8,2118,2136,,1205,729,1663,0.438,227,665,0.341,433,585,0.74,219,942,382,165,68,324,527
283,South Florida,31,19,12,0.613,5.74,1.28,8,10,14,4,4,6,2239,2064,,1265,737,1718,0.429,214,653,0.328,551,860,0.641,431,1213,426,245,99,500,653
284,Southeast Missouri State,31,10,21,0.323,-11.24,-4.31,5,13,6,8,2,13,2216,2378,,1265,796,1809,0.44,266,719,0.37,358,519,0.69,284,1081,402,182,75,447,615
285,Southeastern Louisiana,31,16,15,0.516,-7.63,-5.87,12,6,9,5,7,9,2079,2094,,1240,718,1638,0.438,222,653,0.34,421,592,0.711,329,1048,428,203,75,506,561
